run_id,timestamp,method,platform,source_file,source_sha256,source_class,source_state,transform_chain,transform_label,result_sha256,bytes,width,height,c2pa_state,remote_manifest_ref,exif_present,xmp_present,notes
bfde0fc6c98e,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,none,Untouched original,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,132518,2048,1365,present_valid,False,False,False,
ae47afbd4feb,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,recompress_q95,Re-saved as JPEG at quality 95,0ef7b2fba9468a73459c0704a58b5f313c318275d2740bec08569559992d95b3,80352,2048,1365,absent,False,False,False,
1a4e25f56734,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,recompress_q75,Re-saved as JPEG at quality 75,a60644959d9137fe5248a18329bf099027c1d8e9972d5b0ea098c2e78c49e5d0,53465,2048,1365,absent,False,False,False,
2ef5bb585f68,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,recompress_q50,Re-saved as JPEG at quality 50,ec453a5fd9816464329af8c0d222938253133050e762f2b2a26e094ced02d4df,49970,2048,1365,absent,False,False,False,
177ba2d96721,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,resize_75pct,Resized to 75% of original dimensions,1ce866dd60b462b328a36a25f738eb748727ba0a42cc615653006c5a7032ac71,77896,1536,1023,absent,False,False,False,
dd5b3e33e419,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,resize_50pct,Resized to 50% of original dimensions,0a05a98e313e43aad8cf06f4fdff904b143e0ff20ca0aaefc90f1a4fcec007ef,39596,1024,682,absent,False,False,False,
974046097295,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,resize_25pct,Resized to 25% of original dimensions,4f3e369f7c8065b76a23a77d0cb5118c2f329b41437d70e09601602346b01547,13759,512,341,absent,False,False,False,
ae5fcf40d063,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,crop_5pct,Cropped 5% off each border,5e8b5a9685f34e5a0cbc538025ab9115d4749539a05ea20716210b7f0139877f,111738,1844,1229,absent,False,False,False,
d101e839437b,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,crop_10pct,Cropped 10% off each border,63ec528517384e0e57c35dba76250ee1081af3bfb0d3fad9d117dedee5e9e614,71475,1640,1093,absent,False,False,False,
c25872d37a56,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,crop_25pct,Cropped 25% off each border,ab62cc83f012b7002db7ee474b15cf02c8625f151f0a04d57a06110af52b12de,27639,1024,683,absent,False,False,False,
42585f482e6c,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,rotate_90,Rotated 90 degrees,2ae67032a900f132009360df68e28d6e2664218e541594d8909cb51ae2a98829,82607,1365,2048,absent,False,False,False,
db388886b936,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,rotate_180,Rotated 180 degrees,09a5971349202f8ed6c7c01231b8daee22a1b3fd94abb224dedc5efef923bc00,105952,2048,1365,absent,False,False,False,
2d1f59f4d82e,2026-08-30T01:38:28+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,convert_png_jpeg_png,Converted PNG to JPEG and back to PNG,c5ecb918984f4cdd2d3fb6bbd50a591920948c324227d4240a2583733a9fe336,116128,2048,1365,absent,False,False,False,
9cf9b6d5854d,2026-08-30T01:38:29+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,screenshot,"Screenshotted (pixels recaptured, container discarded)",792541b617e31138843ec9359d5a9be94a5da7126f6bf1927902c56cba4f418b,39446,2048,1365,absent,False,False,False,
54f9b110939a,2026-08-30T01:38:29+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,metadata_scrub,EXIF block removed in place (no re-encode),a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,132518,2048,1365,present_valid,False,False,False,
ccaa07637cc5,2026-08-30T01:38:29+00:00,local,,C.jpg,a2d14755db55de67a47c04090340d8266e892367be4104a45626d7a6fa6e9ffd,sdk_test_fixture,present_valid,editor_resave,Opened in an editor and saved (default settings),102d6382bfa6cf2616ec566ef349ca55a9b827c92f1797b5809ba7f9518fef5b,67102,2048,1365,absent,False,False,False,
